R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
15052,0,-82944,241664,21504,-54752,-18369,52301,-125422,0,1024
15057,0,-82944,214016,9216,-54520,-19174,47699,-121393,0,1024
15062,0,-82944,204800,93184,-46400,-19837,24658,-90895,0,1024
15067,0,-125952,174080,66560,-39440,-20495,3717,-63652,0,1024
15072,0,-125952,174080,65536,-39440,-21104,7860,-62178,0,1024
15077,0,-125952,165888,137216,-37584,-21745,5140,-64469,0,1024
15082,0,-125952,182272,120832,-41296,-22263,23947,-87506,0,1024
15087,0,-125952,169984,117760,-38512,-22701,25565,-86778,0,1024
15092,0,-141312,101376,57344,-22968,-23142,-16076,-30034,0,1024
15097,0,-202752,73728,25600,-16704,-23479,-24900,-15283,0,1024
15102,0,-202752,22528,-3072,-5104,-23776,-52164,-6086,0,1024
15107,0,-231424,9216,-143360,-2088,-24084,-53346,27174,0,1024
15112,0,-231424,-12288,-148480,2784,-24337,-65337,43784,0,4096
15117,0,-231424,-16384,-153600,3712,-24565,-63237,42384,0,1024
15122,0,-272384,5120,-173056,-1160,-24766,-37534,11608,0,1024
15127,0,-285696,6144,-207872,-1392,-24859,-27035,784,0,1024
15132,0,-285696,-4096,-258048,-8120,-24789,6781,-39690,0,1024
15137,0,-285696,13312,-200704,-3016,-24531,2134,-29681,0,1024
15142,0,-318464,16384,-244736,-3712,-24330,10430,-38472,0,1024
15147,0,-318464,29696,-248832,-6728,-24064,25875,-56667,0,1024
15152,0,-318464,38912,-188416,-8816,-23700,35651,-68167,0,1024
15157,0,-331776,37888,-149504,-8584,-23079,41710,-73373,0,1024
15162,0,-331776,41984,-88064,-9512,-22191,54802,-59888,0,1024
15167,0,-331776,17408,-40960,-3944,-21097,44269,-69310,0,1024
15172,0,-394240,-6144,-2048,1392,-19855,38359,-56822,0,4096
15177,0,-394240,-54272,-6144,12296,-18684,7986,2671,0,4096
15182,0,-405504,-109568,-67584,24824,-17483,-32198,39539,0,4096
15187,0,-405504,-115712,-100352,26216,-16525,-39473,49164,0,4096
15192,0,-405504,-102400,-147456,28768,-15602,-53197,66363,0,4096
